subject_areas,Top_Level_Subjects
"Automatic Control, Civil and Environmental Engineering, Civil Engineering, Computer Science, Hydrology","['Materials, Construction and Manufacturing', 'Technology', 'Computer Science and Engineering', 'Natural Science']"
Technology,['Technology']
"Environmental Techniques and Energy Technology, Project Management, Technology","['Natural Science', 'Technology', 'Business Administration and Economics', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Environmental Techniques and Energy Technology, Project Management, Technology","['Natural Science', 'Technology', 'Business Administration and Economics', 'Health and Medical Care', 'Social Science and Behavioural Science']"
Technology,['Technology']
"Architecture, Building Technology and Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Arts, Design and Media', 'Technology']"
"Space Technology, Technology",['Technology']
"Mathematical Statistics, Mathematics , Technology","['Technology', 'Mathematics']"
"Architecture, Technology","['Materials, Construction and Manufacturing', 'Arts, Design and Media', 'Technology']"
"Chemical Engineering , Chemistry, Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Building Technology and Civil Engineering, Civil and Environmental Engineering, Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Information Technology, Media and Communications Studies, Technology","['Technology', 'Computer Science and Engineering', 'Journalism, Communication and Information']"
"Computer Science, Computer Technology, Information Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Information Technology, Mathematics , Technology","['Technology', 'Computer Science and Engineering', 'Mathematics']"
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
"Electrical Engineering, Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Electrical Engineering, Physics, Technology","['Technology', 'Natural Science']"
"Computer Technology, Electrical Engineering, Electronics, Information Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Mechanical Engineering, Technology",['Technology']
"Mechanical Engineering, Technology",['Technology']
"Materials Technology, Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Engineering Physics, Technology, Vehicle Engineering",['Technology']
"Engineering Physics, Physics, Technology","['Technology', 'Natural Science']"
"Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Computer Science, Computer Technology, Electronics, Innovation Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Electronics, Innovation Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Electronics, Innovation Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Electronics, Innovation Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Electronics, Innovation Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Computer Technology, Electronics, Innovation Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Biotechnology, Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Industrial Economics, Organisation and Management, Innovation Technology, Product Development, Technology","['Organisation and Management', 'Industrial Economics', 'Technology']"
"Electrical Engineering, Information Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Medical Technologies, Physics","['Health and Medical Care', 'Natural Science']"
"Innovation Technology, Mechanical Engineering, Product Development, Technology",['Technology']
"Innovation Technology, Mechanical Engineering, Product Development, Technology",['Technology']
"Human-Computer Interaction, Media Technology, Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
"Computer Technology, Information Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Chemical Engineering , Chemistry, Materials Technology, Technology","['Materials, Construction and Manufacturing', 'Technology', 'Natural Science']"
"Chemical Engineering , Chemistry, Materials Technology, Technology","['Materials, Construction and Manufacturing', 'Technology', 'Natural Science']"
"Biology, Biotechnology, Technology","['Technology', 'Natural Science']"
"Medical Technologies, Physics, Radiation Physics, Technology","['Health and Medical Care', 'Technology', 'Natural Science']"
"Chemical Engineering , Chemistry, Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Biology, Biotechnology, Medical Biology, Technology","['Technology', 'Natural Science']"
"Biotechnology, Electronics, Physics, Technology","['Technology', 'Natural Science']"
"Mechanical Engineering, Technology, Vehicle Engineering",['Technology']
"Environmental Techniques and Energy Technology, Mechanical Engineering, Physics, Technology","['Technology', 'Natural Science']"
"Logistics, Mechanical Engineering, Quality Technology, Technology","['Technology', 'Social Science and Behavioural Science']"
"Civil Engineering, Mechanical Engineering, Technology, Vehicle Engineering","['Materials, Construction and Manufacturing', 'Technology']"
"Civil and Environmental Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Computer Science, Information Systems, Information Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Electrical Engineering, Health and Medical Care, Mechanics, Medical Technology, Sport Science","['Health and Medical Care', 'Technology']"
"Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Technology, Work Science","['Technology', 'Social Science and Behavioural Science']"
"Environmental Techniques and Energy Technology, Technology","['Technology', 'Natural Science']"
"Architecture, Civil and Environmental Engineering, Physical Planning, Technology","['Materials, Construction and Manufacturing', 'Arts, Design and Media', 'Technology']"
"Automation Technology, Electrical Engineering, Electronics, Information Technology, Mechanical Engineering","['Technology', 'Computer Science and Engineering']"
"Ergonomics, Technology, Work Science","['Health and Medical Care', 'Technology', 'Social Science and Behavioural Science']"
"Entrepreneurship, Innovation Technology, Leadership, Organisation and Management, Technology","['Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Leadership', 'Social Science and Behavioural Science']"
"Civil and Environmental Engineering, Civil Engineering, Human Geography and Geography, Surveying and Geographic Information Technology, Technology","['Materials, Construction and Manufacturing', 'Technology', 'Natural Science', 'Social Science and Behavioural Science']"
"Mechanical Engineering, Technology, Vehicle Engineering",['Technology']
Biology,['Natural Science']
Forestry,"['Agriculture, Horticulture, Forestry and Fishery']"
Forestry,"['Agriculture, Horticulture, Forestry and Fishery']"
Forestry,"['Agriculture, Horticulture, Forestry and Fishery']"
Forestry,"['Agriculture, Horticulture, Forestry and Fishery']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Human Rights,['Social Science and Behavioural Science']
Religious Studies,['Religious Studies']
Business Administration,['Business Administration and Economics']
Asian Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Computer Science, Computer Science and Engineering, Information Systems, Technology","['Technology', 'Computer Science and Engineering']"
"Arts, Design and Media, Crafts, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
